Short Form,Title,Year,Location,Points
,Regional Rural Bank Credit Refinance Fund,2016,India,1. The government announced the set up of a Regional Rural Bank Credit Refinance Fund with a capital of USD2.1 billion to enhance the capacity of RRBs to disburse short term crop loans to small and marginal farmers.
,Pilot Unified Package Insurance Scheme,2016,India,1. The scheme aimed to cover all the insurance needs of farmers including crop and tractor insurance.
,Agricultural center for excellence,2016,India,"1. The government announced plans to establish centers of excellence in agriculture in Assam and Jharkhand, agriculture universities in Andhra Pradesh and Rajasthan, and horticulture universities in Telangana and Haryana."
,APMC farmers go cashless,2017,India,"1. In January 2017, Indore Agricultural Produce Market Committee (APMC) adopted a cashless payment policy and farmers started accepting alternative modes of payments such as cheques and RTGS."
,Contract Farming Law,2017,India,"1. In February 2017, as an effort to protect the farmers against price volatility, Niti Aayog came up with a law on contract farming to protect the farmers interest.
2. The NITI Aayog observed that market fees and other levies are paid to the APMC for contract framing when no services such as market facilities and infrastructure are rendered by them.
3. In this context, the Committee of State Ministers on Agricultural Reforms recommended that contract farming should be out of the ambit of APMCs.
4. Instead, an independent regulatory authority must be brought in to disengage contract farming stakeholders from the existing APMCs','As per the draft Model Act, contract farming will be outside the ambit of the state APMCs.
5. This implies that buyers need not pay market fee and commission charges to these APMCs to undertake contract farming."
,Tax incentives and other sops,2017,India,"1. The import duty was scrapped on capital goods and raw materials for 100 percent export-oriented units.
2. Full excise duty exemption was provided for goods that are used in the installation of cold storage facilities.
3. Services like pre-conditioning, ripening, waxing, retail packing, precooling, labeling of fruits and vegetables were exempted from service tax."
,"Agriculture Export Policy, 2018",2018,India,"1. The Agriculture Export Policy was framed with a focus on agriculture export-oriented production, export promotion, better farmer realization, and synchronization within policies and programs of the Government of India.
2. It lifted all restrictions on organic and processed food, to help the governments efforts to double farmers income by 2022."
PMAASHA,Pradhan Mantri Annadata Aay SanraksHan Abhiyan,2018,India,"1. In September 2018, the Government of India announced a Rs 15,053 crore procurement policy, under which states can decide the compensation scheme and can also partner with private agencies to ensure fair prices for farmers in the country."
,National Mission on Food Processing,2018,India,"1. Ministry of Food Processing Industries launched a new Centrally Sponsored Scheme (CSS) to promote facilities for post-harvest operations, including setting up of food processing industries in India."
PMKMY,Pradhan Mantri Kisan Maan-Dhan Yojana,2019,India,"1. A minimum fixed pension of Rs 3000 to be provided to eligible small and marginal farmers on attaining the age of 60 years.
2. The beneficiary is required to make a monthly contribution between Rs 55 to Rs 200 to the Pension Fund depending on the age of entry into the scheme.
3. The scheme aims to cover around 3 crore beneficiaries.
4. As of 14th November 2019, 2 million farmers in the country were registered under the scheme.
5. A budgetary provision of Rs 900 crore was made for the year 2019-20."
PMK,Pradhan Mantri Kisan Samman Nidhi Yojana,2019,India,"1. Prime Minister of India launched the Pradhan Mantri Kisan Samman Nidhi Yojana (PM-Kisan) and transferred Rs 2,021 crore to bank accounts of more than 10 million beneficiaries on February 24, 2019.
2. Eligible farmers received Rs 6,000 in three installments"
PMKUSUM,Pradhan Mantri Kisan Urja Suraksha evem Utthan Mahabhiyan,2019,India,"1. Ministry of New and Renewable Energy (MNRE) launched the Pradhan Mantri Kisan Urja Suraksha evem Utthan Mahabhiyan (PM KUSUM) Scheme for farmers for the installation of solar pumps and grid-connected solar and other renewable power plants in the country.
2. The scheme aims to add solar and another renewable capacity of 25,750 MW by 2022."
,Amendment of the Essential Commodities Act (ECA) & Agricultural Produce Market Committee Act,2020,India,"1. Deregularization of agricultural commodities like cereals, pulses, oilseeds, onions and potatoes.
2. Unless it is a case of emergency, under the amended regulations, there will be no requirement of storing certain stock of these commodities.
3. Amendments to ECA will allow farmers to engage in inter-state trade, which was not allowed earlier.
4. Changes will encourage creating a legal framework for allowing contract farming to boost the incomes of producers.
5. Reforms will liberalize Indian agriculture, encourage free markets and reduce government intervention.
6. The ordinance will allow farmers to engage with processors, aggregators, large retailers, exporters passed."
,Expansion of federal eCommerce platform e-NAM app,2020,India,"1. The electronic-National Agriculture Market (e-NAM) platforms will witness another round of expansion.
2. The digital agriculture market that enhances the scope of inter-state trade will add 415 more â mandis to the e-NAM platforms.
3. As per eNAM data of June 2020, about 585 APMC markets in 16 states and 2 Union Territories (UTs) have been integrated into the e-NAM platform.
4. More than 1.65 crore farmers and 1.27 lakh traders have been registered at the portal, launched in April 2016."
,Investment of Rs 1 lakh crore for strengthening agriculture infrastructure,2020,India,"1. From the Rs 20 lakh crore economic package that was announced by Indian Prime Minister to combat the impact of coronavirus, Rs 1 lakh crore will be allocated to the agriculture sector and its allied activities.
2. The fund will be used on the creation of agricultural infrastructure like cold storage chains, post-harvest management, warehouses','Rs 10,000 crore fund will focus on the micro-sized food enterprises to increase the production, marketing, and branding of those agricultural outputs which are specific to a certain region.
3. Rs 15,000 crore will be used to support dairy infrastructure in the country which will help the private segment of this industry, creating plants and exporting niche products.
4. Rs 4,000 crore will be used to promote herbal plants focused agriculture which is expected to generate Rs 5,000 crore of income for the farmers.
5. Rs 500 crore will be used towards beekeeping."
,Union Budget,2020,India,"1. The Budget 2020-21 has identified the agriculture sector as one of the key drivers of the economy.
2. As per Union Budget 2020-21, the Government will work with state Governments to allow farmers to benefit from e-NAM.
3. The Government announced plans to launch Krishi Udaan on international and national routes.
4. Fish production is expected to increase to 200 lakh tonnes by 2022-23.
5. PM-KUSUM scheme has expanded to support 20 lakh farmers for setting up stand-alone solar pumps and will help another 15 lakh farmers to set up their grid-connected solar pumps.
6. Viability gap funding will be provided under Union Budget 2020-21 for setting up warehouses.
7. The coverage of artificial insemination will be increased to 70 %from 30 % at present.
8. Rs 1.34 lakh crore allocated to the Ministry of Agriculture and Farmersâ Welfare.
9. Rs 8,363 crore allocated to the Department of Agricultural Research and Education."
,Digital Initiatives by the Indian government,2020,India,"1. E-sagu: One of the latest digital initiatives, it provides expert suggestions to the farmers.
2. By leveraging the internet and audio-visual communication, insights from experts are provided to the farmers regularly on the various techniques to increase farm productivity.
3. Community Radio (CR): Community Radio fulfills the information needs of the farmers using radio station facilities by providing latest information on weather, farming practices and more.
4. Digital Green: The initiative disseminates agricultural information using online videos.
5. National Agriculture Market (e-nam): It provides an e-marketing platform at the national level and supports the creation of infrastructure to enable e-marketing.
     - The platform also ensures better price discovery, brings in transparency and empowers farmers to get fair remuneration for their produce.
6. The Kisan Call Centre (KCC): initiative provides information to farmers through a toll-free telephone helpline.
     - Under this project, call center facilities have been extended to the farmers by establishing call centers in different states so that farmers can get the information in their native language."
,,,,"1. Low growth in crop and grain production 0.4 and 0.1 percent p.a.
2. Foodgrain production of 59.2 MT in 1952â€“53 with a yield of 579.8 kg/ha.
3. Foodgrain production of 59.2 MT in 1952â€“53 with a yield of 579.8 kg/ha."
